title,challenge_text,display_text,invocation_timestamp,iteration_num,gold_query_text,generated_sql_query_text,generated_semantic_query_text,gold_query_df,generated_sql_df,generated_semantic_df,is_sql_result_equivalent,is_semantic_result_equivalent,sql_comparison_exception,semantic_comparison_exception
HQLS: Policy,How many policies do we have?,"How many
policies do we have?",1700621144.5095308,0,"SELECT COUNT(*) AS NoOfPolicy
FROM policy",SELECT COUNT(*) FROM Policy,"select * from {{
    semantic_layer.query(metrics=['number_of_policies'])
}}","   NOOFPOLICY
0           2","   COUNT(*)
0         2","   NUMBER_OF_POLICIES
0                   2",true,true,,
HQLS: Claim,How many claims do we have?,"How many
claims do we have?",1700621170.8151052,1,"SELECT COUNT(*) AS NoOfClaims
FROM claim",SELECT COUNT(*) FROM Claim;,"select * from {{
    semantic_layer.query(metrics=['claims'])
}}","   NOOFCLAIMS
0           2","   COUNT(*)
0         2","   CLAIMS
0       2",true,true,,
HQLS: Claim - Loss Payment&Loss Reserve,"What is the total loss amounts, which is the sum of loss payment, loss reserve amount by claim number?","What is the total loss amounts, which is the sum
of loss payment, loss reserve amount by claim number?",1700621198.624714,1,"SELECT
    company_claim_number,
    (ca_lp.claim_amount + ca_lr.claim_amount ) as LossAmount
FROM
    Claim
    inner join claim_amount ca_lp on claim.claim_identifier = ca_lp.claim_identifier
    inner JOIN loss_payment ON ca_lp.claim_amount_identifier = loss_payment.claim_amount_identifier
    inner join claim_amount ca_lr on claim.claim_identifier = ca_lr.claim_identifier
    inner JOIN loss_reserve ON ca_lr.claim_amount_identifier = loss_reserve.claim_amount_identifier
","SELECT Claim.Claim_Identifier, 
       SUM(Loss_Payment.Claim_Amount + Loss_Reserve.Claim_Amount) AS Total_Loss_Amount
FROM Claim
LEFT JOIN Claim_Amount AS Loss_Payment ON Claim.Claim_Identifier = Loss_Payment.Claim_Identifier 
                                        AND Loss_Payment.Claim_Amount_Identifier IN (SELECT Claim_Amount_Identifier FROM Loss_Payment)
LEFT JOIN Claim_Amount AS Loss_Reserve ON Claim.Claim_Identifier = Loss_Reserve.Claim_Identifier 
                                        AND Loss_Reserve.Claim_Amount_Identifier IN (SELECT Claim_Amount_Identifier FROM Loss_Reserve)
GROUP BY Claim.Claim_Identifier;","select * from {{
    semantic_layer.query(metrics=['loss_payment_amount', 'loss_reserve_amount', 'total_loss_amount'], 
    group_by='claim_identifier__company_claim_number')
    }}","   COMPANY_CLAIM_NUMBER  LOSSAMOUNT
0              12312701        2200
1              12312702        4400","   CLAIM_IDENTIFIER  TOTAL_LOSS_AMOUNT
0                 1               2200
1                 2               4400","   CLAIM_IDENTIFIER__COMPANY_CLAIM_NUMBER  LOSS_PAYMENT_AMOUNT  LOSS_RESERVE_AMOUNT  TOTAL_LOSS_AMOUNT
0                                12312701                 1200                 1000               2200
1                                12312702                 2300                 2100               4400",false,true,"""['COMPANY_CLAIM_NUMBER'] not in index""",
HQLS: What is the average time to settle a claim by policy number?,What is the average time to settle a claim by policy number?,"What is the average time to
settle a claim by policy number?",1700621244.9217222,1,"select policy_number, avg(DATE_DIFF(claim_open_date, claim_close_date, ""day""))
from claim 
inner join claim_coverage on claim.claim_identifier = claim_coverage.claim_identifier
inner join policy_coverage_detail on claim_coverage.policy_coverage_detail_identifier = policy_coverage_detail.policy_coverage_detail_identifier
inner join policy on policy.policy_identifier = policy_coverage_detail.policy_identifier
where claim_close_date IS NOT NULL
group by policy_number
","SELECT 
    Policy.Policy_Number, 
    AVG(DATEDIFF(day, Claim.Claim_Open_Date, Claim.Claim_Close_Date)) AS Average_Settlement_Days
FROM 
    Claim 
JOIN 
    Policy_Coverage_Detail ON Claim.Insurable_Object_Identifier = Policy_Coverage_Detail.Insurable_Object_Identifier
JOIN 
    Policy ON Policy_Coverage_Detail.Policy_Identifier = Policy.Policy_Identifier
WHERE 
    Claim.Claim_Close_Date IS NOT NULL
GROUP BY 
    Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['avg_time_to_settle_claim'], 
    group_by=['policy__policy_number'])
    }}","   POLICY_NUMBER  AVG(DATEDIFF(DAY, CLAIM_OPEN_DATE, CLAIM_CLOSE_DATE))
0    31003000336                                               20.5    ","   POLICY_NUMBER AVERAGE_SETTLEMENT_DAYS
0    31003000336               16.000000
1    31003000337               25.000000","                                                                                                                                                                                                                                                                                                                                                                                                                 error
0  INVALID_ARGUMENT: [FlightSQL] Unable To Satisfy Query Error: Dimensions ['policy__policy_number'] cannot be resolved for metrics ['avg_time_to_settle_claim']. The invalid dimension may not exist, require an ambiguous join (e.g. a join path that can be satisfied in multiple ways), or require a fanout join.\n\nSuggestions for invalid dimension 'policy__policy_number':\n    [] (InvalidArgument; Prepare)",false,false,,
HQLS: Policy - Coverage - Premium,What is the average policy size which is the the total amount of premium divided by the number of policies?,"What is the average policy size which is the the
total amount of premium divided by the number of policies?",1700621280.7997353,1,"SELECT
    SUM(policy_amount)/COUNT(DISTINCT policy_number) AS avgPolicySize
FROM
   policy_coverage_detail 
    inner join policy on policy.policy_identifier = policy_coverage_detail.policy_identifier
    inner join policy_amount on policy_coverage_detail.policy_coverage_detail_identifier = policy_amount.policy_coverage_detail_identifier
    inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
","SELECT AVG(Total_Premium / Number_of_Policies) as Average_Policy_Size
FROM
(
    SELECT SUM(Premium.Policy_Amount) as Total_Premium, COUNT(DISTINCT Policy.Policy_Identifier) as Number_of_Policies
    FROM Premium
    JOIN Policy_Amount ON Premium.Policy_Amount_Identifier = Policy_Amount.Policy_Amount_Identifier
    JOIN Policy ON Policy_Amount.Policy_Identifier = Policy.Policy_Identifier
) as Subquery","select avg(total_policy_amount / number_of_policies) as avg_policy_size from {{
    semantic_layer.query(metrics=['total_policy_amount', 'number_of_policies'])
}}","  AVGPOLICYSIZE
0  49000.000000","                                                                                                                                                     error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 4 at position 15\ninvalid identifier 'PREMIUM.POLICY_AMOUNT' (InvalidArgument; Prepare)","        AVG_POLICY_SIZE
0  2849000.000000000000",false,false,,"""None of [Index(['AVGPOLICYSIZE'], dtype='object')] are in the [columns]"""
HQLS: Policy - Agent,How many policies have agents sold by agent id?,"How many policies have
agents sold by agent id?",1700621319.6523604,1,"select  party_identifier as agentid, count(policy.policy_number) as NoOfPolicies
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
where agreement_party_role.party_role_code = 'AG'
group by party_identifier","SELECT Party_Identifier AS Agent_ID, COUNT(Policy_Identifier) AS Policies_Sold
FROM Agreement_Party_Role 
WHERE Party_Role_Code = 'Agent'
GROUP BY Party_Identifier;","select * from {{
    semantic_layer.query(metrics=['number_of_policies'], 
    group_by=['policy__party_identifier_dim'],
    where=""{{ Dimension('policy__party_role_code') }} = 'AG'""
    )}}","   AGENTID  NOOFPOLICIES
0        2             2","                                                                                                                                                 error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 43\ninvalid identifier 'POLICY_IDENTIFIER' (InvalidArgument; Prepare)","   POLICY__PARTY_IDENTIFIER_DIM  NUMBER_OF_POLICIES
0                             2                   2",false,true,,
HQLS: What is the total amount of premiums that a policy holder has paid?,What is the total amount of premiums that a policy holder has paid?,"What is the total amount of
premiums that a policy holder has paid?",1700621349.3880537,1,"select party_identifier, sum(policy_amount)
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier","SELECT SUM(Policy_Amount) AS Total_Premiums_Paid
FROM Policy_Amount
INNER JOIN Agreement_Party_Role ON Policy_Amount.Policy_Identifier = Agreement_Party_Role.Agreement_Identifier
WHERE Agreement_Party_Role.Party_Role_Code = 'PolicyHolder';","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'],
    where=""{{ Dimension('policy_amount__has_premium') }} = 1 AND {{ Dimension('policy__party_role_code') }} = 'PH'"")
    }}","   PARTY_IDENTIFIER  SUM(POLICY_AMOUNT)
0                 1               98000","   TOTAL_PREMIUMS_PAID
0                  NaN","   TOTAL_POLICY_AMOUNT
0                98000",false,false,"""None of [Index(['PARTY_IDENTIFIER', 'SUM(POLICY_AMOUNT)'], dtype='object')] are in the [columns]""","""['PARTY_IDENTIFIER'] not in index"""
HQLS: What is the total amount of premiums that a policy holder has paid by policy number?,What is the total amount of premiums that a policy holder has paid by policy number?,"What is the total amount of premiums that
a policy holder has paid by policy number?",1700621384.976558,1,"select party_identifier, policy_number, sum(policy_amount)
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier, policy_number","SELECT Policy.Policy_Number, SUM(Premium.Policy_Amount) AS Total_Premiums_Paid
FROM Policy
INNER JOIN Policy_Amount ON Policy.Policy_Identifier = Policy_Amount.Policy_Identifier
INNER JOIN Premium ON Policy_Amount.Policy_Amount_Identifier = Premium.Policy_Amount_Identifier
GROUP BY Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    group_by=['policy__policy_number'],
    where=""{{ Dimension('policy_amount__has_premium') }} = 1""
    )}}","   PARTY_IDENTIFIER  POLICY_NUMBER  SUM(POLICY_AMOUNT)
0                 1    31003000336               86000
1                 1    31003000337               12000","                                                                                                                                                     error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 33\ninvalid identifier 'PREMIUM.POLICY_AMOUNT' (InvalidArgument; Prepare)","   POLICY__POLICY_NUMBER  TOTAL_POLICY_AMOUNT
0            31003000336                86000
1            31003000337                12000",false,false,,"""['PARTY_IDENTIFIER'] not in index"""
HQLS: Policy - Policy Holder,How many policies does each policy holder have by policy holder id?,"How many policies does each
policy holder have by policy holder id?",1700621422.421304,1,"select party_identifier, count( policy.policy_number)  as NoOfPolicies
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier","SELECT Party_Identifier AS Policy_Holder_ID, COUNT(Policy_Identifier) AS Number_of_Policies
FROM Agreement_Party_Role
INNER JOIN Policy ON Agreement_Party_Role.Agreement_Identifier = Policy.Policy_Identifier
GROUP BY Party_Identifier;","select * from {{
    semantic_layer.query(metrics=['number_of_policies'], 
    group_by=['policy__party_identifier_dim'],
    where=""{{ Dimension('policy__party_role_code') }} = 'PH'""
    )}}","   PARTY_IDENTIFIER  NOOFPOLICIES
0                 1             2","   POLICY_HOLDER_ID  NUMBER_OF_POLICIES
0                 1                   2
1                 2                   2","   POLICY__PARTY_IDENTIFIER_DIM  NUMBER_OF_POLICIES
0                             1                   2",false,true,"""None of [Index(['NOOFPOLICIES', 'PARTY_IDENTIFIER'], dtype='object')] are in the [columns]""",
HQLS: Policy - Coverage - Claim,How many claims have been placed by policy number?,"How many claims have
been placed by policy number?",1700621457.0774384,1,"select policy_number, count(company_claim_number) as NoOfClaims
from 
    policy 
    inner join policy_coverage_detail on policy.policy_identifier = policy_coverage_detail.policy_identifier
    inner join claim_coverage on claim_coverage.policy_coverage_detail_identifier = policy_coverage_detail.policy_coverage_detail_identifier
    inner join claim on claim.claim_identifier = claim_coverage.claim_identifier
group by policy_number","SELECT Policy_Number, COUNT(*) AS NumberOfClaims
FROM Claim 
JOIN Policy ON Claim.Claim_Identifier = Policy.Policy_Identifier
GROUP BY Policy_Number;","select * from {{
    semantic_layer.query(metrics=['claims'], 
    group_by=['claim_identifier__policy_number'])
}}","   POLICY_NUMBER  NOOFCLAIMS
0    31003000336           2","   POLICY_NUMBER  NUMBEROFCLAIMS
0    31003000336               1
1    31003000337               1","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          error
0  INVALID_ARGUMENT: [FlightSQL] Unable To Satisfy Query Error: Dimensions ['claim_identifier__policy_number'] cannot be resolved for metrics ['claims']. The invalid dimension may not exist, require an ambiguous join (e.g. a join path that can be satisfied in multiple ways), or require a fanout join.\n\nSuggestions for invalid dimension 'claim_identifier__policy_number':\n    ['claim_identifier__company_claim_number',\n     'claim_identifier__company_subclaim_number',\n     'claim_identifier__policy_coverage_detail',\n     'claim_identifier__claim_identifier',\n     'claim_identifier__claim_description',\n     'claim_identifier__claim_open_date__year'] (InvalidArgument; Prepare)",false,false,"""['NOOFCLAIMS'] not in index""",
HQLS: What is the total amount of premiums paid by policy number?,What is the total amount of premiums paid by policy number?,"What is the total amount of
premiums paid by policy number?",1700621489.4371703,1,"select policy_number, sum(policy_amount) as TotalPremiumAmount
from 
    policy 
    inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
    inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
group by policy_number","SELECT Policy.Policy_Number, SUM(Premium.Policy_Amount) as Total_Premiums_Paid
FROM Policy
JOIN Policy_Amount ON Policy.Policy_Identifier = Policy_Amount.Policy_Identifier
JOIN Premium ON Policy_Amount.Policy_Amount_Identifier = Premium.Policy_Amount_Identifier
GROUP BY Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    group_by=['policy__policy_number'],
    where=""{{ Dimension('policy_amount__has_premium') }} = 1""
    )}}","   POLICY_NUMBER  TOTALPREMIUMAMOUNT
0    31003000336               86000
1    31003000337               12000","                                                                                                                                                     error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 33\ninvalid identifier 'PREMIUM.POLICY_AMOUNT' (InvalidArgument; Prepare)","   POLICY__POLICY_NUMBER  TOTAL_POLICY_AMOUNT
0            31003000336                86000
1            31003000337                12000",false,true,,
HQLS: Policy,How many policies do we have?,"How many
policies do we have?",1700621526.3308334,1,"SELECT COUNT(*) AS NoOfPolicy
FROM policy",SELECT COUNT(*) FROM Policy,"select * from {{
    semantic_layer.query(metrics=['number_of_policies'])
}}","   NOOFPOLICY
0           2","   COUNT(*)
0         2","   NUMBER_OF_POLICIES
0                   2",true,true,,
HQLS: Claim,How many claims do we have?,"How many
claims do we have?",1700621554.9688256,2,"SELECT COUNT(*) AS NoOfClaims
FROM claim",SELECT COUNT(*) FROM Claim;,"select * from {{
    semantic_layer.query(metrics=['claims'])
}}","   NOOFCLAIMS
0           2","   COUNT(*)
0         2","   CLAIMS
0       2",true,true,,
